Item,Item code,Type,Parent code,Link
Ekonomi,EKEKI,focus,EK25,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy25/program-gy2025/svid12_680ec99c197a1c18f61b023/907561864/syllabuscw/jsp/program.htm?programCode=EK25&orientationCode=EKEKI&orientationName=Ekonomi&a=EKEKI&tos=gy&origin=gy2025
Juridik,EKJUK,focus,EK25,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy25/program-gy2025/svid12_680ec99c197a1c18f61b023/907561864/syllabuscw/jsp/program.htm?programCode=EK25&orientationCode=EKJUK&orientationName=Juridik&a=EKJUK&tos=gy&origin=gy2025
El- och energiprogrammet,EE25,programme,,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy25/program-gy2025/svid12_680ec99c197a1c18f61b023/907561864/syllabuscw/jsp/program.htm?programCode=EE25&tos=gy&origin=gy2025
Automationsteknik,EEAUK,focus,EE25,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy25/program-gy2025/svid12_680ec99c197a1c18f61b023/907561864/syllabuscw/jsp/program.htm?programCode=EE25&orientationCode=EEAUK&orientationName=Automationsteknik&a=EEAUK&tos=gy&origin=gy2025
Dator- och kommunikationsteknik,EEDAK,focus,EE25,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy25/program-gy2025/svid12_680ec99c197a1c18f61b023/907561864/syllabuscw/jsp/program.htm?programCode=EE25&orientationCode=EEDAK&orientationName=Dator-+och+kommunikationsteknik&a=EEDAK&tos=gy&origin=gy2025
Elteknik,EEELK,focus,EE25,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy25/program-gy2025/svid12_680ec99c197a1c18f61b023/907561864/syllabuscw/jsp/program.htm?programCode=EE25&orientationCode=EEELK&orientationName=Elteknik&a=EEELK&tos=gy&origin=gy2025
Energiteknik,EEENK,focus,EE25,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy25/program-gy2025/svid12_680ec99c197a1c18f61b023/907561864/syllabuscw/jsp/program.htm?programCode=EE25&orientationCode=EEENK&orientationName=Energiteknik&a=EEENK&tos=gy&origin=gy2025
Estetiska programmet,ES25,programme,,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy25/program-gy2025/svid12_680ec99c197a1c18f61b023/907561864/syllabuscw/jsp/program.htm?programCode=ES25&tos=gy&origin=gy2025
Bild och formgivning,ESBIF,focus,ES25,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy25/program-gy2025/svid12_680ec99c197a1c18f61b023/907561864/syllabuscw/jsp/program.htm?programCode=ES25&orientationCode=ESBIF&orientationName=Bild+och+formgivning&a=ESBIF&tos=gy&origin=gy2025
Dans,ESDAS,focus,ES25,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy25/program-gy2025/svid12_680ec99c197a1c18f61b023/907561864/syllabuscw/jsp/program.htm?programCode=ES25&orientationCode=ESDAS&orientationName=Dans&a=ESDAS&tos=gy&origin=gy2025
Estetik och media,ESESM,focus,ES25,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy25/program-gy2025/svid12_680ec99c197a1c18f61b023/907561864/syllabuscw/jsp/program.htm?programCode=ES25&orientationCode=ESESM&orientationName=Estetik+och+media&a=ESESM&tos=gy&origin=gy2025
Modedesign,ESMON,focus,ES25,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy25/program-gy2025/svid12_680ec99c197a1c18f61b023/907561864/syllabuscw/jsp/program.htm?programCode=ES25&orientationCode=ESMON&orientationName=Modedesign&a=ESMON&tos=gy&origin=gy2025
Musik,ESMUK,focus,ES25,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy25/program-gy2025/svid12_680ec99c197a1c18f61b023/907561864/syllabuscw/jsp/program.htm?programCode=ES25&orientationCode=ESMUK&orientationName=Musik&a=ESMUK&tos=gy&origin=gy2025
Teater,ESTER,focus,ES25,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy25/program-gy2025/svid12_680ec99c197a1c18f61b023/907561864/syllabuscw/jsp/program.htm?programCode=ES25&orientationCode=ESTER&orientationName=Teater&a=ESTER&tos=gy&origin=gy2025
Finsnickeriutbildningen,FI25,programme,,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy25/program-gy2025/svid12_680ec99c197a1c18f61b023/907561864/syllabuscw/jsp/program.htm?programCode=FI25&tos=gy&origin=gy2025
Floristutbildningen,FO25,programme,,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy25/program-gy2025/svid12_680ec99c197a1c18f61b023/907561864/syllabuscw/jsp/program.htm?programCode=FO25&tos=gy&origin=gy2025
Flygteknikutbildningen,FL25,programme,,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy25/program-gy2025/svid12_680ec99c197a1c18f61b023/907561864/syllabuscw/jsp/program.htm?programCode=FL25&tos=gy&origin=gy2025
Flygplan,FLFLN,focus,FL25,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy25/program-gy2025/svid12_680ec99c197a1c18f61b023/907561864/syllabuscw/jsp/program.htm?programCode=FL25&orientationCode=FLFLN&orientationName=Flygplan&a=FLFLN&tos=gy&origin=gy2025
Helikopter,FLHER,focus,FL25,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy25/program-gy2025/svid12_680ec99c197a1c18f61b023/907561864/syllabuscw/jsp/program.htm?programCode=FL25&orientationCode=FLHER&orientationName=Helikopter&a=FLHER&tos=gy&origin=gy2025
Fordons- och transportprogrammet,FT25,programme,,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy25/program-gy2025/svid12_680ec99c197a1c18f61b023/907561864/syllabuscw/jsp/program.htm?programCode=FT25&tos=gy&origin=gy2025
Fordonsskadeteknik och lackering,FTFOL,focus,FT25,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy25/program-gy2025/svid12_680ec99c197a1c18f61b023/907561864/syllabuscw/jsp/program.htm?programCode=FT25&orientationCode=FTFOL&orientationName=Fordonsskadeteknik+och+lackering&a=FTFOL&tos=gy&origin=gy2025
Lastbil och mobila maskiner,FTLAM,focus,FT25,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy25/program-gy2025/svid12_680ec99c197a1c18f61b023/907561864/syllabuscw/jsp/program.htm?programCode=FT25&orientationCode=FTLAM&orientationName=Lastbil+och+mobila+maskiner&a=FTLAM&tos=gy&origin=gy2025
Personbil,FTPEL,focus,FT25,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy25/program-gy2025/svid12_680ec99c197a1c18f61b023/907561864/syllabuscw/jsp/program.htm?programCode=FT25&orientationCode=FTPEL&orientationName=Personbil&a=FTPEL&tos=gy&origin=gy2025
Transport,FTTRT,focus,FT25,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy25/program-gy2025/svid12_680ec99c197a1c18f61b023/907561864/syllabuscw/jsp/program.htm?programCode=FT25&orientationCode=FTTRT&orientationName=Transport&a=FTTRT&tos=gy&origin=gy2025
Frisör- och stylistprogrammet,FR25,programme,,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy25/program-gy2025/svid12_680ec99c197a1c18f61b023/907561864/syllabuscw/jsp/program.htm?programCode=FR25&tos=gy&origin=gy2025
Barberare,FRBAE,focus,FR25,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy25/program-gy2025/svid12_680ec99c197a1c18f61b023/907561864/syllabuscw/jsp/program.htm?programCode=FR25&orientationCode=FRBAE&orientationName=Barberare&a=FRBAE&tos=gy&origin=gy2025
Frisör,FRFRR,focus,FR25,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy25/program-gy2025/svid12_680ec99c197a1c18f61b023/907561864/syllabuscw/jsp/program.htm?programCode=FR25&orientationCode=FRFRR&orientationName=Fris%C3%B6r&a=FRFRR&tos=gy&origin=gy2025
Hår- och makeupstylist,FRHAM,focus,FR25,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy25/program-gy2025/svid12_680ec99c197a1c18f61b023/907561864/syllabuscw/jsp/program.htm?programCode=FR25&orientationCode=FRHAM&orientationName=H%C3%A5r-+och+makeupstylist&a=FRHAM&tos=gy&origin=gy2025
Försäljnings- och serviceprogrammet,FS25,programme,,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy25/program-gy2025/svid12_680ec99c197a1c18f61b023/907561864/syllabuscw/jsp/program.htm?programCode=FS25&tos=gy&origin=gy2025
Glashantverksutbildningen,GL25,programme,,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy25/program-gy2025/svid12_680ec99c197a1c18f61b023/907561864/syllabuscw/jsp/program.htm?programCode=GL25&tos=gy&origin=gy2025
Guldsmedsutbildningen,GU25,programme,,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy25/program-gy2025/svid12_680ec99c197a1c18f61b023/907561864/syllabuscw/jsp/program.htm?programCode=GU25&tos=gy&origin=gy2025
Hotell- och turismprogrammet,HT25,programme,,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy25/program-gy2025/svid12_680ec99c197a1c18f61b023/907561864/syllabuscw/jsp/program.htm?programCode=HT25&tos=gy&origin=gy2025
Humanistiska programmet,HU25,programme,,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy25/program-gy2025/svid12_680ec99c197a1c18f61b023/907561864/syllabuscw/jsp/program.htm?programCode=HU25&tos=gy&origin=gy2025
Kultur,HUKUR,focus,HU25,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy25/program-gy2025/svid12_680ec99c197a1c18f61b023/907561864/syllabuscw/jsp/program.htm?programCode=HU25&orientationCode=HUKUR&orientationName=Kultur&a=HUKUR&tos=gy&origin=gy2025
Språk,HUSPK,focus,HU25,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy25/program-gy2025/svid12_680ec99c197a1c18f61b023/907561864/syllabuscw/jsp/program.htm?programCode=HU25&orientationCode=HUSPK&orientationName=Spr%C3%A5k&a=HUSPK&tos=gy&origin=gy2025
Industritekniska programmet,IN25,programme,,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy25/program-gy2025/svid12_680ec99c197a1c18f61b023/907561864/syllabuscw/jsp/program.htm?programCode=IN25&tos=gy&origin=gy2025
Driftsäkerhet och underhåll,INDRU,focus,IN25,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy25/program-gy2025/svid12_680ec99c197a1c18f61b023/907561864/syllabuscw/jsp/program.htm?programCode=IN25&orientationCode=INDRU&orientationName=Drifts%C3%A4kerhet+och+underh%C3%A5ll&a=INDRU&tos=gy&origin=gy2025
Processteknik,INPRI,focus,IN25,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy25/program-gy2025/svid12_680ec99c197a1c18f61b023/907561864/syllabuscw/jsp/program.htm?programCode=IN25&orientationCode=INPRI&orientationName=Processteknik&a=INPRI&tos=gy&origin=gy2025
Produkt och maskinteknik,INPRM,focus,IN25,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy25/program-gy2025/svid12_680ec99c197a1c18f61b023/907561864/syllabuscw/jsp/program.htm?programCode=IN25&orientationCode=INPRM&orientationName=Produkt+och+maskinteknik&a=INPRM&tos=gy&origin=gy2025
Svetsteknik,INSVK,focus,IN25,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy25/program-gy2025/svid12_680ec99c197a1c18f61b023/907561864/syllabuscw/jsp/program.htm?programCode=IN25&orientationCode=INSVK&orientationName=Svetsteknik&a=INSVK&tos=gy&origin=gy2025
Marinteknikutbildningen,MA25,programme,,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy25/program-gy2025/svid12_680ec99c197a1c18f61b023/907561864/syllabuscw/jsp/program.htm?programCode=MA25&tos=gy&origin=gy2025
Naturbruksprogrammet,NB25,programme,,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy25/program-gy2025/svid12_680ec99c197a1c18f61b023/907561864/syllabuscw/jsp/program.htm?programCode=NB25&tos=gy&origin=gy2025
Djurvård,NBDJD,focus,NB25,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy25/program-gy2025/svid12_680ec99c197a1c18f61b023/907561864/syllabuscw/jsp/program.htm?programCode=NB25&orientationCode=NBDJD&orientationName=Djurv%C3%A5rd&a=NBDJD&tos=gy&origin=gy2025
Hästhållning,NBHAG,focus,NB25,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy25/program-gy2025/svid12_680ec99c197a1c18f61b023/907561864/syllabuscw/jsp/program.htm?programCode=NB25&orientationCode=NBHAG&orientationName=H%C3%A4sth%C3%A5llning&a=NBHAG&tos=gy&origin=gy2025
Lantbruk,NBLAK,focus,NB25,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy25/program-gy2025/svid12_680ec99c197a1c18f61b023/907561864/syllabuscw/jsp/program.htm?programCode=NB25&orientationCode=NBLAK&orientationName=Lantbruk&a=NBLAK&tos=gy&origin=gy2025
Naturturism,NBNAM,focus,NB25,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy25/program-gy2025/svid12_680ec99c197a1c18f61b023/907561864/syllabuscw/jsp/program.htm?programCode=NB25&orientationCode=NBNAM&orientationName=Naturturism&a=NBNAM&tos=gy&origin=gy2025
Skogsbruk,NBSKK,focus,NB25,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy25/program-gy2025/svid12_680ec99c197a1c18f61b023/907561864/syllabuscw/jsp/program.htm?programCode=NB25&orientationCode=NBSKK&orientationName=Skogsbruk&a=NBSKK&tos=gy&origin=gy2025
Trädgård,NBTRD,focus,NB25,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy25/program-gy2025/svid12_680ec99c197a1c18f61b023/907561864/syllabuscw/jsp/program.htm?programCode=NB25&orientationCode=NBTRD&orientationName=Tr%C3%A4dg%C3%A5rd&a=NBTRD&tos=gy&origin=gy2025
Naturvetenskapsprogrammet,NA25,programme,,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy25/program-gy2025/svid12_680ec99c197a1c18f61b023/907561864/syllabuscw/jsp/program.htm?programCode=NA25&tos=gy&origin=gy2025
Naturvetenskap,NANAP,focus,NA25,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy25/program-gy2025/svid12_680ec99c197a1c18f61b023/907561864/syllabuscw/jsp/program.htm?programCode=NA25&orientationCode=NANAP&orientationName=Naturvetenskap&a=NANAP&tos=gy&origin=gy2025
Naturvetenskap och samhälle,NANAA,focus,NA25,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy25/program-gy2025/svid12_680ec99c197a1c18f61b023/907561864/syllabuscw/jsp/program.htm?programCode=NA25&orientationCode=NANAA&orientationName=Naturvetenskap+och+samh%C3%A4lle&a=NANAA&tos=gy&origin=gy2025
Restaurang- och livsmedelsprogrammet,RL25,programme,,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy25/program-gy2025/svid12_680ec99c197a1c18f61b023/907561864/syllabuscw/jsp/program.htm?programCode=RL25&tos=gy&origin=gy2025
Bageri och konditori,RLBAK,focus,RL25,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy25/program-gy2025/svid12_680ec99c197a1c18f61b023/907561864/syllabuscw/jsp/program.htm?programCode=RL25&orientationCode=RLBAK&orientationName=Bageri+och+konditori&a=RLBAK&tos=gy&origin=gy2025
Kök och servering,RLKOS,focus,RL25,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy25/program-gy2025/svid12_680ec99c197a1c18f61b023/907561864/syllabuscw/jsp/program.htm?programCode=RL25&orientationCode=RLKOS&orientationName=K%C3%B6k+och+servering&a=RLKOS&tos=gy&origin=gy2025
Samhällsvetenskapsprogrammet,SA25,programme,,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy25/program-gy2025/svid12_680ec99c197a1c18f61b023/907561864/syllabuscw/jsp/program.htm?programCode=SA25&tos=gy&origin=gy2025
Beteendevetenskap,SABEP,focus,SA25,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy25/program-gy2025/svid12_680ec99c197a1c18f61b023/907561864/syllabuscw/jsp/program.htm?programCode=SA25&orientationCode=SABEP&orientationName=Beteendevetenskap&a=SABEP&tos=gy&origin=gy2025
"Medier, journalistik och kommunikation",SAMJK,focus,SA25,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy25/program-gy2025/svid12_680ec99c197a1c18f61b023/907561864/syllabuscw/jsp/program.htm?programCode=SA25&orientationCode=SAMJK&orientationName=Medier%2C+journalistik+och+kommunikation&a=SAMJK&tos=gy&origin=gy2025
Samhällsvetenskap,SASAP,focus,SA25,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy25/program-gy2025/svid12_680ec99c197a1c18f61b023/907561864/syllabuscw/jsp/program.htm?programCode=SA25&orientationCode=SASAP&orientationName=Samh%C3%A4llsvetenskap&a=SASAP&tos=gy&origin=gy2025
Sjöfartsutbildningen,SJ25,programme,,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy25/program-gy2025/svid12_680ec99c197a1c18f61b023/907561864/syllabuscw/jsp/program.htm?programCode=SJ25&tos=gy&origin=gy2025
Däck,SJDAK,focus,SJ25,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy25/program-gy2025/svid12_680ec99c197a1c18f61b023/907561864/syllabuscw/jsp/program.htm?programCode=SJ25&orientationCode=SJDAK&orientationName=D%C3%A4ck&a=SJDAK&tos=gy&origin=gy2025
Maskin,SJMAN,focus,SJ25,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy25/program-gy2025/svid12_680ec99c197a1c18f61b023/907561864/syllabuscw/jsp/program.htm?programCode=SJ25&orientationCode=SJMAN&orientationName=Maskin&a=SJMAN&tos=gy&origin=gy2025
Teknikprogrammet,TE25,programme,,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy25/program-gy2025/svid12_680ec99c197a1c18f61b023/907561864/syllabuscw/jsp/program.htm?programCode=TE25&tos=gy&origin=gy2025
Design och produktutveckling,TEDEP,focus,TE25,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy25/program-gy2025/svid12_680ec99c197a1c18f61b023/907561864/syllabuscw/jsp/program.htm?programCode=TE25&orientationCode=TEDEP&orientationName=Design+och+produktutveckling&a=TEDEP&tos=gy&origin=gy2025
Informations- och medieteknik,TEINM,focus,TE25,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy25/program-gy2025/svid12_680ec99c197a1c18f61b023/907561864/syllabuscw/jsp/program.htm?programCode=TE25&orientationCode=TEINM&orientationName=Informations-+och+medieteknik&a=TEINM&tos=gy&origin=gy2025
Produktionsteknik,TEPRK,focus,TE25,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy25/program-gy2025/svid12_680ec99c197a1c18f61b023/907561864/syllabuscw/jsp/program.htm?programCode=TE25&orientationCode=TEPRK&orientationName=Produktionsteknik&a=TEPRK&tos=gy&origin=gy2025
Samhällsbyggande och miljö,TESAI,focus,TE25,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy25/program-gy2025/svid12_680ec99c197a1c18f61b023/907561864/syllabuscw/jsp/program.htm?programCode=TE25&orientationCode=TESAI&orientationName=Samh%C3%A4llsbyggande+och+milj%C3%B6&a=TESAI&tos=gy&origin=gy2025
