Item,Item code,Type,Parent code,Link
Barn- och fritidsprogrammet,BF25,programme,,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy25/program-gy2025/svid12_680ec99c197a1c18f61b023/907561864/syllabuscw/jsp/program.htm?programCode=BF25&tos=gy&origin=gy2025
Fritid och hälsa,BFFRH,focus,BF25,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy25/program-gy2025/svid12_680ec99c197a1c18f61b023/907561864/syllabuscw/jsp/program.htm?programCode=BF25&orientationCode=BFFRH&orientationName=Fritid+och+h%C3%A4lsa&a=BFFRH&tos=gy&origin=gy2025
Pedagogiskt och socialt arbete,BFPES,focus,BF25,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy25/program-gy2025/svid12_680ec99c197a1c18f61b023/907561864/syllabuscw/jsp/program.htm?programCode=BF25&orientationCode=BFPES&orientationName=Pedagogiskt+och+socialt+arbete&a=BFPES&tos=gy&origin=gy2025
Bygg- och anläggningsprogrammet,BA25,programme,,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy25/program-gy2025/svid12_680ec99c197a1c18f61b023/907561864/syllabuscw/jsp/program.htm?programCode=BA25&tos=gy&origin=gy2025
Byggnadsplåtslageri,BABYI,focus,BA25,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy25/program-gy2025/svid12_680ec99c197a1c18f61b023/907561864/syllabuscw/jsp/program.htm?programCode=BA25&orientationCode=BABYI&orientationName=Byggnadspl%C3%A5tslageri&a=BABYI&tos=gy&origin=gy2025
Husbyggnad,BAHUD,focus,BA25,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy25/program-gy2025/svid12_680ec99c197a1c18f61b023/907561864/syllabuscw/jsp/program.htm?programCode=BA25&orientationCode=BAHUD&orientationName=Husbyggnad&a=BAHUD&tos=gy&origin=gy2025
Mark och anläggning,BAMAA,focus,BA25,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy25/program-gy2025/svid12_680ec99c197a1c18f61b023/907561864/syllabuscw/jsp/program.htm?programCode=BA25&orientationCode=BAMAA&orientationName=Mark+och+anl%C3%A4ggning&a=BAMAA&tos=gy&origin=gy2025
Måleri,BAMAI,focus,BA25,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy25/program-gy2025/svid12_680ec99c197a1c18f61b023/907561864/syllabuscw/jsp/program.htm?programCode=BA25&orientationCode=BAMAI&orientationName=M%C3%A5leri&a=BAMAI&tos=gy&origin=gy2025
Design och sömnadstekniska utbildningen,DS25,programme,,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy25/program-gy2025/svid12_680ec99c197a1c18f61b023/907561864/syllabuscw/jsp/program.htm?programCode=DS25&tos=gy&origin=gy2025
Ekonomiprogrammet,EK25,programme,,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy25/program-gy2025/svid12_680ec99c197a1c18f61b023/907561864/syllabuscw/jsp/program.htm?programCode=EK25&tos=gy&origin=gy2025
