Item,Item code,Type,Parent code,Link
Bild och formgivning,ESBIL,focus,ES,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy11/program/svid12_5dfee44715d35a5cdfa9295/907561864/syllabuscw/jsp/program.htm?programCode=ES001&orientationCode=ESBIL&orientationName=Bild+och+formgivning&a=ESBIL&tos=gy
Dans,ESDAN,focus,ES,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy11/program/svid12_5dfee44715d35a5cdfa9295/907561864/syllabuscw/jsp/program.htm?programCode=ES001&orientationCode=ESDAN&orientationName=Dans&a=ESDAN&tos=gy
Estetik och media,ESEST,focus,ES,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy11/program/svid12_5dfee44715d35a5cdfa9295/907561864/syllabuscw/jsp/program.htm?programCode=ES001&orientationCode=ESEST&orientationName=Estetik+och+media&a=ESEST&tos=gy
Musik,ESMUS,focus,ES,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy11/program/svid12_5dfee44715d35a5cdfa9295/907561864/syllabuscw/jsp/program.htm?programCode=ES001&orientationCode=ESMUS&orientationName=Musik&a=ESMUS&tos=gy
Teater,ESTEA,focus,ES,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy11/program/svid12_5dfee44715d35a5cdfa9295/907561864/syllabuscw/jsp/program.htm?programCode=ES001&orientationCode=ESTEA&orientationName=Teater&a=ESTEA&tos=gy
Flygteknikutbildningen,FX,programme,,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy11/program/svid12_5dfee44715d35a5cdfa9295/907561864/syllabuscw/jsp/program.htm?programCode=FX&version=4&tos=gy
Flygplan,FXFLY,focus,FX,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy11/program/svid12_5dfee44715d35a5cdfa9295/907561864/syllabuscw/jsp/program.htm?programCode=FX&orientationCode=FXFLY&orientationName=Flygplan&a=FXFLY&tos=gy
Helikopter,FXHEL,focus,FX,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy11/program/svid12_5dfee44715d35a5cdfa9295/907561864/syllabuscw/jsp/program.htm?programCode=FX&orientationCode=FXHEL&orientationName=Helikopter&a=FXHEL&tos=gy
Fordons- och transportprogrammet,FT,programme,,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy11/program/svid12_5dfee44715d35a5cdfa9295/907561864/syllabuscw/jsp/program.htm?programCode=FT001&version=17&tos=gy
Karosseri och lackering,FTKAR,focus,FT,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy11/program/svid12_5dfee44715d35a5cdfa9295/907561864/syllabuscw/jsp/program.htm?programCode=FT001&orientationCode=FTKAR&orientationName=Karosseri+och+lackering&a=FTKAR&tos=gy
